source_event_id,event_name,event_date_iso,event_url,source_matchup_id,fighter_1_name,fighter_2_name,fighter_1_url,fighter_2_url,pair_key
ufc-fight-night-3160,UFC Fight Night,2024-02-04,https://www.bestfightodds.com/events/ufc-fight-night-3160,33705,Nassourdine Imavov,Roman Dolidze,/fighters/nassourdine-imavov-10307,/fighters/roman-dolidze-9094,"('nassourdine imavov', 'roman dolidze')"
ufc-fight-night-3160,UFC Fight Night,2024-02-04,https://www.bestfightodds.com/events/ufc-fight-night-3160,33721,Drew Dober,Renato Moicano,/fighters/drew-dober-1576,/fighters/renato-moicano-5598,"('drew dober', 'renato moicano')"
ufc-fight-night-3160,UFC Fight Night,2024-02-04,https://www.bestfightodds.com/events/ufc-fight-night-3160,33806,Muslim Salikhov,Randy Brown,/fighters/muslim-salikhov-7701,/fighters/randy-brown-6139,"('muslim salikhov', 'randy brown')"
ufc-fight-night-3160,UFC Fight Night,2024-02-04,https://www.bestfightodds.com/events/ufc-fight-night-3160,33716,Natalia Silva,Viviane Araujo,/fighters/natalia-silva-10547,/fighters/viviane-araujo-9155,"('natalia silva', 'viviane araujo')"
ufc-fight-night-3160,UFC Fight Night,2024-02-04,https://www.bestfightodds.com/events/ufc-fight-night-3160,33715,Aliaskhab Khizriev,Makhmud Muradov,/fighters/aliaskhab-khizriev-8002,/fighters/makhmud-muradov-8383,"('aliaskhab khizriev', 'makhmud muradov')"
ufc-fight-night-3160,UFC Fight Night,2024-02-04,https://www.bestfightodds.com/events/ufc-fight-night-3160,33722,Charles Radtke,Gilbert Urbina,/fighters/charles-radtke-10622,/fighters/gilbert-urbina-8520,"('charles radtke', 'gilbert urbina')"
ufc-3163,UFC,2024-02-10,https://www.bestfightodds.com/events/ufc-3163,33997,Bolaji Oki,Timothy Cuamba,/fighters/bolaji-oki-16406,/fighters/timothy-cuamba-11019,"('bolaji oki', 'timothy cuamba')"
ufc-3163,UFC,2024-02-10,https://www.bestfightodds.com/events/ufc-3163,33736,Bruna Brasil,Loma Lookboonmee,/fighters/bruna-brasil-13778,/fighters/loma-lookboonmee-7834,"('bruna brasil', 'loma lookboonmee')"
ufc-3163,UFC,2024-02-10,https://www.bestfightodds.com/events/ufc-3163,33742,Devin Clark,Marcin Prachnio,/fighters/devin-clark-5571,/fighters/marcin-prachnio-6346,"('devin clark', 'marcin prachnio')"
ufc-3163,UFC,2024-02-10,https://www.bestfightodds.com/events/ufc-3163,33738,Jeremiah Wells,Max Griffin,/fighters/jeremiah-wells-8059,/fighters/max-griffin-6581,"('jeremiah wells', 'max griffin')"
ufc-3163,UFC,2024-02-10,https://www.bestfightodds.com/events/ufc-3163,33740,Bogdan Guskov,Zac Pauga,/fighters/bogdan-guskov-16384,/fighters/zac-pauga-10550,"('bogdan guskov', 'zac pauga')"
ufc-3163,UFC,2024-02-10,https://www.bestfightodds.com/events/ufc-3163,33986,Fernie Garcia,Hyder Amil,/fighters/fernie-garcia-9000,/fighters/hyder-amil-8178,"('fernie garcia', 'hyder amil')"
ufc-3163,UFC,2024-02-10,https://www.bestfightodds.com/events/ufc-3163,33852,Daniel Marcos,Qileng Aori,/fighters/daniel-marcos-14365,/fighters/qileng-aori-10837,"('daniel marcos', 'qileng aori')"
ufc-3163,UFC,2024-02-10,https://www.bestfightodds.com/events/ufc-3163,33737,Aori Qileng,Daniel Marcos,/fighters/aori-qileng-13588,/fighters/daniel-marcos-14365,"('aori qileng', 'daniel marcos')"
ufc-3194,UFC,2024-02-11,https://www.bestfightodds.com/events/ufc-3194,33735,Jack Hermansson,Joe Pyfer,/fighters/jack-hermansson-2474,/fighters/joe-pyfer-8530,"('jack hermansson', 'joe pyfer')"
ufc-3194,UFC,2024-02-11,https://www.bestfightodds.com/events/ufc-3194,33920,Andre Fili,Dan Ige,/fighters/andre-fili-4466,/fighters/dan-ige-6448,"('andre fili', 'dan ige')"
ufc-3194,UFC,2024-02-11,https://www.bestfightodds.com/events/ufc-3194,33987,Ihor Potieria,Robert Bryczek,/fighters/ihor-potieria-13119,/fighters/robert-bryczek-11162,"('ihor potieria', 'robert bryczek')"
ufc-3194,UFC,2024-02-11,https://www.bestfightodds.com/events/ufc-3194,33731,Brad Tavares,Gregory Rodrigues,/fighters/brad-tavares-1959,/fighters/gregory-rodrigues-6917,"('brad tavares', 'gregory rodrigues')"
ufc-3194,UFC,2024-02-11,https://www.bestfightodds.com/events/ufc-3194,33732,Darrius Flowers,Michael Johnson,/fighters/darrius-flowers-8177,/fighters/michael-johnson-2219,"('darrius flowers', 'michael johnson')"
ufc-3194,UFC,2024-02-11,https://www.bestfightodds.com/events/ufc-3194,33730,Armen Petrosyan,Rodolfo Vieira,/fighters/armen-petrosyan-11514,/fighters/rodolfo-vieira-9318,"('armen petrosyan', 'rodolfo vieira')"
ufc-3194,UFC,2024-02-11,https://www.bestfightodds.com/events/ufc-3194,33734,Carlos Prates,Trevin Giles,/fighters/carlos-prates-14705,/fighters/trevin-giles-4665,"('carlos prates', 'trevin giles')"
ufc-3156,UFC,2024-02-17,https://www.bestfightodds.com/events/ufc-3156,33697,Andrea Lee,Miranda Maverick,/fighters/andrea-lee-5260,/fighters/miranda-maverick-6780,"('andrea lee', 'miranda maverick')"
ufc-298-3112,UFC 298,2024-02-18,https://www.bestfightodds.com/events/ufc-298-3112,33691,Marcin Tybura,Tai Tuivasa,/fighters/marcin-tybura-6200,/fighters/tai-tuivasa-7444,"('marcin tybura', 'tai tuivasa')"
ufc-298-3112,UFC 298,2024-02-18,https://www.bestfightodds.com/events/ufc-298-3112,33246,Alex Volkanovski,Alexsandre Topuria,/fighters/alex-volkanovski-6723,/fighters/alexsandre-topuria-15779,"('alex volkanovski', 'alexsandre topuria')"
ufc-298-3112,UFC 298,2024-02-18,https://www.bestfightodds.com/events/ufc-298-3112,33706,Paulo Costa,Robert Whittaker,/fighters/paulo-costa-7991,/fighters/robert-whittaker-3761,"('paulo costa', 'robert whittaker')"
ufc-298-3112,UFC 298,2024-02-18,https://www.bestfightodds.com/events/ufc-298-3112,33668,Geoff Neal,Ian Machado Garry,/fighters/geoff-neal-8453,/fighters/ian-machado-garry-15690,"('geoff neal', 'ian machado garry')"
ufc-298-3112,UFC 298,2024-02-18,https://www.bestfightodds.com/events/ufc-298-3112,33690,Henry Cejudo,Merab Dvalishvili,/fighters/henry-cejudo-4438,/fighters/merab-dvalishvili-6415,"('henry cejudo', 'merab dvalishvili')"
ufc-298-3112,UFC 298,2024-02-18,https://www.bestfightodds.com/events/ufc-298-3112,33919,Anthony Hernandez,Roman Kopylov,/fighters/anthony-hernandez-6092,/fighters/roman-kopylov-7343,"('anthony hernandez', 'roman kopylov')"
ufc-298-3112,UFC 298,2024-02-18,https://www.bestfightodds.com/events/ufc-298-3112,33815,Amanda Lemos,Mackenzie Dern,/fighters/amanda-lemos-7335,/fighters/mackenzie-dern-6488,"('amanda lemos', 'mackenzie dern')"
ufc-298-3112,UFC 298,2024-02-18,https://www.bestfightodds.com/events/ufc-298-3112,33695,Justin Tafa,Marcos Rogerio de Lima,/fighters/justin-tafa-9315,/fighters/marcos-rogerio-de-lima-2779,"('justin tafa', 'marcos rogerio de lima')"
ufc-298-3112,UFC 298,2024-02-18,https://www.bestfightodds.com/events/ufc-298-3112,33921,Carlos Vera,Rinya Nakamura,/fighters/carlos-vera-7002,/fighters/rinya-nakamura-13935,"('carlos vera', 'rinya nakamura')"
ufc-298-3112,UFC 298,2024-02-18,https://www.bestfightodds.com/events/ufc-298-3112,33694,Brendson Ribeiro,Zhang Mingyang,/fighters/brendson-ribeiro-13392,/fighters/zhang-mingyang-14721,"('brendson ribeiro', 'zhang mingyang')"
ufc-298-3112,UFC 298,2024-02-18,https://www.bestfightodds.com/events/ufc-298-3112,33854,Danny Barlow,Josh Quinlan,/fighters/danny-barlow-14814,/fighters/josh-quinlan-10316,"('danny barlow', 'josh quinlan')"
ufc-298-3112,UFC 298,2024-02-18,https://www.bestfightodds.com/events/ufc-298-3112,33699,Oban Elliott,Val Woodburn,/fighters/oban-elliott-9107,/fighters/val-woodburn-16106,"('oban elliott', 'val woodburn')"
ufc-3162,UFC,2024-02-25,https://www.bestfightodds.com/events/ufc-3162,33746,Raul Rosas Jr,Ricky Turcios,/fighters/raul-rosas-jr-14405,/fighters/ricky-turcios-4236,"('raul rosas jr', 'ricky turcios')"
ufc-3162,UFC,2024-02-25,https://www.bestfightodds.com/events/ufc-3162,33805,Brandon Moreno,Brandon Royval,/fighters/brandon-moreno-6681,/fighters/brandon-royval-7031,"('brandon moreno', 'brandon royval')"
ufc-3162,UFC,2024-02-25,https://www.bestfightodds.com/events/ufc-3162,33729,Brian Ortega,Yair Rodriguez,/fighters/brian-ortega-4290,/fighters/yair-rodriguez-5292,"('brian ortega', 'yair rodriguez')"
ufc-3162,UFC,2024-02-25,https://www.bestfightodds.com/events/ufc-3162,33918,Daniel Zellhuber,Francisco Prado,/fighters/daniel-zellhuber-9200,/fighters/francisco-prado-15049,"('daniel zellhuber', 'francisco prado')"
ufc-3162,UFC,2024-02-25,https://www.bestfightodds.com/events/ufc-3162,33750,Sam Hughes,Yazmin Jauregui,/fighters/sam-hughes-9863,/fighters/yazmin-jauregui-13793,"('sam hughes', 'yazmin jauregui')"
ufc-3162,UFC,2024-02-25,https://www.bestfightodds.com/events/ufc-3162,33751,Chris Duncan,Manuel Torres,/fighters/chris-duncan-8861,/fighters/manuel-torres-11468,"('chris duncan', 'manuel torres')"
ufc-3162,UFC,2024-02-25,https://www.bestfightodds.com/events/ufc-3162,33917,Christian Quinonez,Raoni Barcelos,/fighters/christian-quinonez-10741,/fighters/raoni-barcelos-4521,"('christian quinonez', 'raoni barcelos')"
ufc-3162,UFC,2024-02-25,https://www.bestfightodds.com/events/ufc-3162,33748,Jesus Santos Aguilar,Mateus Mendonca,/fighters/jesus-santos-aguilar-14279,/fighters/mateus-mendonca-14501,"('jesus santos aguilar', 'mateus mendonca')"
ufc-3162,UFC,2024-02-25,https://www.bestfightodds.com/events/ufc-3162,33985,Daniel da Silva,Edgar Chairez,/fighters/daniel-da-silva-13133,/fighters/edgar-chairez-9509,"('daniel da silva', 'edgar chairez')"
ufc-3162,UFC,2024-02-25,https://www.bestfightodds.com/events/ufc-3162,33747,Daniel Lacerda,Edgar Chairez,/fighters/daniel-lacerda-12102,/fighters/edgar-chairez-9509,"('daniel lacerda', 'edgar chairez')"
ufc-3162,UFC,2024-02-25,https://www.bestfightodds.com/events/ufc-3162,33915,Claudio Puelles,Fares Ziam,/fighters/claudio-puelles-6804,/fighters/fares-ziam-9451,"('claudio puelles', 'fares ziam')"
ufc-3162,UFC,2024-02-25,https://www.bestfightodds.com/events/ufc-3162,33914,Denys Bondar,Luis Rodriguez,/fighters/denys-bondar-10576,/fighters/luis-rodriguez-10230,"('denys bondar', 'luis rodriguez')"
ufc-3162,UFC,2024-02-25,https://www.bestfightodds.com/events/ufc-3162,33749,Felipe Dos Santos,Victor Altamirano,/fighters/felipe-dos-santos-14707,/fighters/victor-altamirano-9662,"('felipe dos santos', 'victor altamirano')"
ufc-3162,UFC,2024-02-25,https://www.bestfightodds.com/events/ufc-3162,33916,Erik Silva,Muhammad Naimov,/fighters/erik-silva-14213,/fighters/muhammad-naimov-10630,"('erik silva', 'muhammad naimov')"
ufc-3193,UFC,2024-03-02,https://www.bestfightodds.com/events/ufc-3193,33984,Jairzinho Rozenstruik,Shamil Gaziev,/fighters/jairzinho-rozenstruik-8218,/fighters/shamil-gaziev-12522,"('jairzinho rozenstruik', 'shamil gaziev')"
ufc-3193,UFC,2024-03-02,https://www.bestfightodds.com/events/ufc-3193,33981,Joel Alvarez,Ludovit Klein,/fighters/joel-alvarez-8910,/fighters/ludovit-klein-7610,"('joel alvarez', 'ludovit klein')"
ufc-3193,UFC,2024-03-02,https://www.bestfightodds.com/events/ufc-3193,34185,Brendon Marotte,Mohammad Yahya,/fighters/brendon-marotte-7869,/fighters/mohammad-yahya-7764,"('brendon marotte', 'mohammad yahya')"
ufc-3193,UFC,2024-03-02,https://www.bestfightodds.com/events/ufc-3193,33980,Vinicius Oliveira,Yanis Ghemmouri,/fighters/vinicius-oliveira-16540,/fighters/yanis-ghemmouri-11422,"('vinicius oliveira', 'yanis ghemmouri')"
ufc-3193,UFC,2024-03-02,https://www.bestfightodds.com/events/ufc-3193,33975,Tyson Pedro,Vitor Petrino,/fighters/tyson-pedro-6826,/fighters/vitor-petrino-14346,"('tyson pedro', 'vitor petrino')"
ufc-3193,UFC,2024-03-02,https://www.bestfightodds.com/events/ufc-3193,33983,Alex Perez,Muhammad Mokaev,/fighters/alex-perez-2459,/fighters/muhammad-mokaev-10995,"('alex perez', 'muhammad mokaev')"
ufc-3193,UFC,2024-03-02,https://www.bestfightodds.com/events/ufc-3193,34090,Bekzat Almakhan,Umar Nurmagomedov,/fighters/bekzat-almakhan-15004,/fighters/umar-nurmagomedov-9365,"('bekzat almakhan', 'umar nurmagomedov')"
