source_event_id,event_name,event_date_iso,event_url,source_matchup_id,fighter_1_name,fighter_2_name,fighter_1_url,fighter_2_url,pair_key,ufc_fight_id,ufc_event_id,ufc_event_name,ufc_event_date_iso,winner_name,fight_order,weight_class,match_method,match_similarity
ufc-316-3702,UFC 316,2025-06-07,https://www.bestfightodds.com/events/ufc-316-3702,38779,Quillan Salkilld,Yanal Ashmouz,/fighters/quillan-salkilld-16405,/fighters/yanal-ashmouz-15722,"('quillan salkilld', 'yanal ashmouz')",80f3a053808af27c5ee2,18c49685296c60e6,,2025-06-07,Quillan Salkilld,99,Lightweight Bout,exact_pair,1.0
ufc-3684,UFC,2025-06-08,https://www.bestfightodds.com/events/ufc-3684,38511,Kevin Holland,Vicente Luque,/fighters/kevin-holland-5910,/fighters/vicente-luque-5744,"('kevin holland', 'vicente luque')",842e9c669ea529c2588e,18c49685296c60e6,,2025-06-07,Kevin Holland,99,Welterweight Bout,exact_pair,1.0
ufc-3684,UFC,2025-06-08,https://www.bestfightodds.com/events/ufc-3684,38516,Bruno Silva,Joshua van,/fighters/bruno-silva-7121,/fighters/joshua-van-14745,"('bruno silva', 'joshua van')",91bab0b23ea38359ecab,18c49685296c60e6,,2025-06-07,Joshua Van,99,Flyweight Bout,exact_pair,1.0
ufc-316-3702,UFC 316,2025-06-07,https://www.bestfightodds.com/events/ufc-316-3702,38512,Ariane da Silva,Wang Cong,/fighters/ariane-da-silva-18630,/fighters/wang-cong-18152,"('ariane da silva', 'wang cong')",bf55b2f8932f61f89b38,18c49685296c60e6,,2025-06-07,Wang Cong,99,Women's Flyweight Bout,exact_pair,1.0
ufc-3684,UFC,2025-06-08,https://www.bestfightodds.com/events/ufc-3684,38932,Andreas Gustafsson,Khaos Williams,/fighters/andreas-gustafsson-8971,/fighters/khaos-williams-9974,"('andreas gustafsson', 'khaos williams')",c29368706b9436f73f6e,18c49685296c60e6,,2025-06-07,Andreas Gustafsson,99,Welterweight Bout,exact_pair,1.0
ufc-316-3702,UFC 316,2025-06-07,https://www.bestfightodds.com/events/ufc-316-3702,38933,Mark Choinski,Marquel Mederos,/fighters/mark-choinski-17481,/fighters/marquel-mederos-10796,"('mark choinski', 'marquel mederos')",c7782f8cfb8472036e7f,18c49685296c60e6,,2025-06-07,MarQuel Mederos,99,Lightweight Bout,exact_pair,1.0
ufc-3684,UFC,2025-06-08,https://www.bestfightodds.com/events/ufc-3684,38778,Azamat Murzakanov,Brendson Ribeiro,/fighters/azamat-murzakanov-7264,/fighters/brendson-ribeiro-13392,"('azamat murzakanov', 'brendson ribeiro')",c8c52ee20e907b093f6a,18c49685296c60e6,,2025-06-07,Azamat Murzakanov,99,Light Heavyweight Bout,exact_pair,1.0
ufc-3684,UFC,2025-06-08,https://www.bestfightodds.com/events/ufc-3684,38780,Mario Bautista,Patrick Mix,/fighters/mario-bautista-8867,/fighters/patrick-mix-9151,"('mario bautista', 'patrick mix')",e6c266fe839c9cf7a4ee,18c49685296c60e6,,2025-06-07,Mario Bautista,99,Bantamweight Bout,fuzzy_pair,0.8809523809523809
ufc-316-3702,UFC 316,2025-06-07,https://www.bestfightodds.com/events/ufc-316-3702,38776,Jeka Saragih,Joo Sang Yoo,/fighters/jeka-saragih-15072,/fighters/joo-sang-yoo-19436,"('jeka saragih', 'joo sang yoo')",eb59361daf3ea1209b01,18c49685296c60e6,,2025-06-07,JooSang Yoo,99,Featherweight Bout,fuzzy_pair,0.9782608695652174
ufc-fight-night-3716,UFC Fight Night,2025-06-15,https://www.bestfightodds.com/events/ufc-fight-night-3716,39001,Cameron Smotherman,Ricky Simon,/fighters/cameron-smotherman-12367,/fighters/ricky-simon-5780,"('cameron smotherman', 'ricky simon')",08b23397fad98f274d9e,de277a4abcfeea46,,2025-06-14,Ricky Simon,99,Bantamweight Bout,exact_pair,1.0
ufc-fight-night-3716,UFC Fight Night,2025-06-15,https://www.bestfightodds.com/events/ufc-fight-night-3716,38625,Court McGee,Michael Chiesa,/fighters/court-mcgee-1956,/fighters/michael-chiesa-3317,"('court mcgee', 'michael chiesa')",08be7bb67286b528e8b0,de277a4abcfeea46,,2025-06-14,Michael Chiesa,99,Welterweight Bout,exact_pair,1.0
ufc-fight-night-3716,UFC Fight Night,2025-06-15,https://www.bestfightodds.com/events/ufc-fight-night-3716,38620,Cody Durden,Jose Ochoa,/fighters/cody-durden-10231,/fighters/jose-ochoa-16739,"('cody durden', 'jose ochoa')",0feca729753d44cd15a2,de277a4abcfeea46,,2025-06-14,Jose Ochoa,99,Flyweight Bout,exact_pair,1.0
ufc-fight-night-3715,UFC Fight Night,2025-06-14,https://www.bestfightodds.com/events/ufc-fight-night-3715,38992,Ange Loosa,Phil Rowe,/fighters/ange-loosa-9074,/fighters/phil-rowe-9898,"('ange loosa', 'phil rowe')",1635f0ab02298f88603e,de277a4abcfeea46,,2025-06-14,Phil Rowe,99,Welterweight Bout,exact_pair,1.0
ufc-fight-night-3716,UFC Fight Night,2025-06-15,https://www.bestfightodds.com/events/ufc-fight-night-3716,38619,Alonzo Menifield,Oumar Sy,/fighters/alonzo-menifield-5961,/fighters/oumar-sy-12679,"('alonzo menifield', 'oumar sy')",16e1feb9486244243fae,de277a4abcfeea46,,2025-06-14,Alonzo Menifield,99,Light Heavyweight Bout,exact_pair,1.0
ufc-fight-night-3715,UFC Fight Night,2025-06-14,https://www.bestfightodds.com/events/ufc-fight-night-3715,38991,Jamey-Lyn Horth,Vanessa Demopoulos,/fighters/jamey-lyn-horth-15531,/fighters/vanessa-demopoulos-8998,"('jamey lyn horth', 'vanessa demopoulos')",296e407a1a99ccb2a4ff,de277a4abcfeea46,,2025-06-14,Jamey-Lyn Horth,99,Women's Flyweight Bout,exact_pair,1.0
ufc-fight-night-3716,UFC Fight Night,2025-06-15,https://www.bestfightodds.com/events/ufc-fight-night-3716,38622,Joaquin Buckley,Kamaru Usman,/fighters/joaquin-buckley-6458,/fighters/kamaru-usman-4664,"('joaquin buckley', 'kamaru usman')",2971af80cd2b4db56ad5,de277a4abcfeea46,,2025-06-14,Kamaru Usman,99,Welterweight Bout,exact_pair,1.0
ufc-fight-night-3716,UFC Fight Night,2025-06-15,https://www.bestfightodds.com/events/ufc-fight-night-3716,38993,Kris Moutinho,Malcolm Wellmaker,/fighters/kris-moutinho-6239,/fighters/malcolm-wellmaker-18273,"('kris moutinho', 'malcolm wellmaker')",7e50fefeb075b2d484dc,de277a4abcfeea46,,2025-06-14,Malcolm Wellmaker,99,Bantamweight Bout,exact_pair,1.0
ufc-fight-night-3716,UFC Fight Night,2025-06-15,https://www.bestfightodds.com/events/ufc-fight-night-3716,38626,Andre Petroski,Edmen Shahbazyan,/fighters/andre-petroski-10388,/fighters/edmen-shahbazyan-8418,"('andre petroski', 'edmen shahbazyan')",94a3e27dd108f3060cbc,de277a4abcfeea46,,2025-06-14,Edmen Shahbazyan,99,Middleweight Bout,exact_pair,1.0
ufc-fight-night-3716,UFC Fight Night,2025-06-15,https://www.bestfightodds.com/events/ufc-fight-night-3716,38907,Cody Garbrandt,Raoni Barcelos,/fighters/cody-garbrandt-5368,/fighters/raoni-barcelos-4521,"('cody garbrandt', 'raoni barcelos')",ee15608ab13a8b77486f,de277a4abcfeea46,,2025-06-14,Raoni Barcelos,99,Bantamweight Bout,exact_pair,1.0
ufc-fight-night-3716,UFC Fight Night,2025-06-15,https://www.bestfightodds.com/events/ufc-fight-night-3716,38624,Miranda Maverick,Rose Namajunas,/fighters/miranda-maverick-6780,/fighters/rose-namajunas-3803,"('miranda maverick', 'rose namajunas')",f8ac28f3c057f628f845,de277a4abcfeea46,,2025-06-14,Rose Namajunas,99,Women's Flyweight Bout,exact_pair,1.0
ufc-fight-night-3701,UFC Fight Night,2025-06-21,https://www.bestfightodds.com/events/ufc-fight-night-3701,38994,Myktybek Orolbai,Tofiq Musayev,/fighters/myktybek-orolbai-16276,/fighters/tofiq-musayev-13682,"('myktybek orolbai', 'tofiq musayev')",465d3ec596fc5e7ca7f4,400c7b43c86d27d3,,2025-06-21,Myktybek Orolbai,99,Catch Weight Bout,exact_pair,1.0
ufc-fight-night-3701,UFC Fight Night,2025-06-21,https://www.bestfightodds.com/events/ufc-fight-night-3701,38507,Jamahal Hill,Khalil Rountree,/fighters/jamahal-hill-9288,/fighters/khalil-rountree-4935,"('jamahal hill', 'khalil rountree')",5165e7bad4b0c7306b83,400c7b43c86d27d3,,2025-06-21,Khalil Rountree Jr.,99,Light Heavyweight Bout,fuzzy_pair,0.9545454545454546
ufc-fight-night-3701,UFC Fight Night,2025-06-21,https://www.bestfightodds.com/events/ufc-fight-night-3701,38505,Ismail Naurdiev,Jun Yong Park,/fighters/ismail-naurdiev-7558,/fighters/jun-yong-park-9312,"('ismail naurdiev', 'jun yong park')",548f53902c46c57206ee,400c7b43c86d27d3,,2025-06-21,JunYong Park,99,Middleweight Bout,exact_pair,1.0
ufc-fight-night-3701,UFC Fight Night,2025-06-21,https://www.bestfightodds.com/events/ufc-fight-night-3701,38995,Ignacio Bahamondes,Rafael Fiziev,/fighters/ignacio-bahamondes-9750,/fighters/rafael-fiziev-8258,"('ignacio bahamondes', 'rafael fiziev')",5e8920faeb22032b726c,400c7b43c86d27d3,,2025-06-21,Rafael Fiziev,99,Lightweight Bout,exact_pair,1.0
ufc-fight-night-3701,UFC Fight Night,2025-06-21,https://www.bestfightodds.com/events/ufc-fight-night-3701,38508,Curtis Blaydes,Rizvan Kuniev,/fighters/curtis-blaydes-5732,/fighters/rizvan-kuniev-12573,"('curtis blaydes', 'rizvan kuniev')",673dbf0622dc38a923f5,400c7b43c86d27d3,,2025-06-21,Curtis Blaydes,99,Heavyweight Bout,exact_pair,1.0
ufc-fight-night-3701,UFC Fight Night,2025-06-21,https://www.bestfightodds.com/events/ufc-fight-night-3701,38514,Hamdy Abdelwahab,Mohammed Usman,/fighters/hamdy-abdelwahab-14137,/fighters/mohammed-usman-8067,"('hamdy abdelwahab', 'mohammed usman')",7d257304fc16406380e7,400c7b43c86d27d3,,2025-06-21,Mohammed Usman,99,Heavyweight Bout,exact_pair,1.0
ufc-fight-night-3701,UFC Fight Night,2025-06-21,https://www.bestfightodds.com/events/ufc-fight-night-3701,38996,Nazim Sadykhov,Nikolas Motta,/fighters/nazim-sadykhov-9868,/fighters/nikolas-motta-9314,"('nazim sadykhov', 'nikolas motta')",7f35ea2b365f706ebc4d,400c7b43c86d27d3,,2025-06-21,Nazim Sadykhov,99,Lightweight Bout,exact_pair,1.0
ufc-fight-night-3701,UFC Fight Night,2025-06-21,https://www.bestfightodds.com/events/ufc-fight-night-3701,38513,Irina Alekseeva,Klaudia Sygula,/fighters/irina-alekseeva-12710,/fighters/klaudia-sygula-11261,"('irina alekseeva', 'klaudia sygula')",809f6ad5dda5404c9537,400c7b43c86d27d3,,2025-06-21,Klaudia Sygula,99,Women's Bantamweight Bout,exact_pair,1.0
ufc-fight-night-3701,UFC Fight Night,2025-06-21,https://www.bestfightodds.com/events/ufc-fight-night-3701,39000,Oban Elliott,Seokhyeon Ko,/fighters/oban-elliott-9107,/fighters/seokhyeon-ko-19541,"('oban elliott', 'seokhyeon ko')",bc0fe2ada96d77b8adc6,400c7b43c86d27d3,,2025-06-21,Seokhyeon Ko,99,Welterweight Bout,exact_pair,1.0
ufc-fight-night-3701,UFC Fight Night,2025-06-21,https://www.bestfightodds.com/events/ufc-fight-night-3701,38997,Azat Maksum,Tagir Ulanbekov,/fighters/azat-maksum-10897,/fighters/tagir-ulanbekov-7598,"('azat maksum', 'tagir ulanbekov')",c22e70f9a92dd12e6493,400c7b43c86d27d3,,2025-06-21,Tagir Ulanbekov,99,Flyweight Bout,exact_pair,1.0
ufc-fight-night-3701,UFC Fight Night,2025-06-21,https://www.bestfightodds.com/events/ufc-fight-night-3701,38506,Daria Zhelezniakova,Melissa Mullins,/fighters/daria-zhelezniakova-19344,/fighters/melissa-mullins-17402,"('daria zhelezniakova', 'melissa mullins')",d3023b3ef5e34e823982,400c7b43c86d27d3,,2025-06-21,Daria Zhelezniakova,99,Women's Bantamweight Bout,exact_pair,1.0
ufc-fight-night-3701,UFC Fight Night,2025-06-21,https://www.bestfightodds.com/events/ufc-fight-night-3701,38998,Bogdan Grad,Muhammad Naimov,/fighters/bogdan-grad-16302,/fighters/muhammad-naimov-10630,"('bogdan grad', 'muhammad naimov')",d41b7c498757a7bf0a7b,400c7b43c86d27d3,,2025-06-21,Muhammad Naimov,99,Featherweight Bout,exact_pair,1.0
ufc-3726,UFC,2025-06-28,https://www.bestfightodds.com/events/ufc-3726,39090,Alvin Hines,Jhonata Diniz,/fighters/alvin-hines-17040,/fighters/jhonata-diniz-16483,"('alvin hines', 'jhonata diniz')",069c0f30542274fb1edb,66766984842c13dc,,2025-06-28,Jhonata Diniz,99,Heavyweight Bout,exact_pair,1.0
ufc-3725,UFC,2025-06-29,https://www.bestfightodds.com/events/ufc-3725,38730,Gregory Rodrigues,Jack Hermansson,/fighters/gregory-rodrigues-6917,/fighters/jack-hermansson-2474,"('gregory rodrigues', 'jack hermansson')",0da94fba57fbfd31a942,66766984842c13dc,,2025-06-28,Gregory Rodrigues,99,Middleweight Bout,exact_pair,1.0
ufc-3725,UFC,2025-06-29,https://www.bestfightodds.com/events/ufc-3725,38713,Alexandre Pantoja,Kai Kara-France,/fighters/alexandre-pantoja-5118,/fighters/kai-kara-france-8800,"('alexandre pantoja', 'kai kara france')",3506ac1e607ec1ccd95b,66766984842c13dc,,2025-06-28,Alexandre Pantoja,99,UFC Flyweight Title Bout,exact_pair,1.0
ufc-3725,UFC,2025-06-29,https://www.bestfightodds.com/events/ufc-3725,38731,Tracy Cortez,Viviane Araujo,/fighters/tracy-cortez-7427,/fighters/viviane-araujo-9155,"('tracy cortez', 'viviane araujo')",3e4a8321daec93e9b64f,66766984842c13dc,,2025-06-28,Tracy Cortez,99,Women's Flyweight Bout,exact_pair,1.0
ufc-3725,UFC,2025-06-29,https://www.bestfightodds.com/events/ufc-3725,38712,Charles Oliveira,Ilia Topuria,/fighters/charles-oliveira-1893,/fighters/ilia-topuria-8322,"('charles oliveira', 'ilia topuria')",696a4a9b598963f56fa7,66766984842c13dc,,2025-06-28,Ilia Topuria,99,UFC Lightweight Title Bout,exact_pair,1.0
ufc-3726,UFC,2025-06-28,https://www.bestfightodds.com/events/ufc-3726,39089,Jacobe Smith,Niko Price,/fighters/jacobe-smith-14991,/fighters/niko-price-6895,"('jacobe smith', 'niko price')",7c158b0af7a71dbbf0d8,66766984842c13dc,,2025-06-28,Jacobe Smith,99,Welterweight Bout,exact_pair,1.0
ufc-3725,UFC,2025-06-29,https://www.bestfightodds.com/events/ufc-3725,39091,Felipe Lima,Payton Talbott,/fighters/felipe-lima-10819,/fighters/payton-talbott-15422,"('felipe lima', 'payton talbott')",8084bc9c3bad55ad4f79,66766984842c13dc,,2025-06-28,Payton Talbott,99,Bantamweight Bout,exact_pair,1.0
