source_event_id,event_name,event_date_iso,event_url
ufc-307-3449,UFC 307,2024-10-05,https://www.bestfightodds.com/events/ufc-307-3449
ufc-3433,UFC,2024-10-06,https://www.bestfightodds.com/events/ufc-3433
ufc-3500,UFC,2024-10-12,https://www.bestfightodds.com/events/ufc-3500
ufc-fight-night-3501,UFC Fight Night,2024-10-13,https://www.bestfightodds.com/events/ufc-fight-night-3501
ufc-3513,UFC,2024-10-19,https://www.bestfightodds.com/events/ufc-3513
ufc-3412,UFC,2024-10-26,https://www.bestfightodds.com/events/ufc-3412
ufc-fight-night-3450,UFC Fight Night,2024-11-02,https://www.bestfightodds.com/events/ufc-fight-night-3450
ufc-fight-night-3436,UFC Fight Night,2024-11-03,https://www.bestfightodds.com/events/ufc-fight-night-3436
ufc-fight-night-3531,UFC Fight Night,2024-11-09,https://www.bestfightodds.com/events/ufc-fight-night-3531
ufc-3537,UFC,2024-11-10,https://www.bestfightodds.com/events/ufc-3537
ufc-3538,UFC,2024-11-16,https://www.bestfightodds.com/events/ufc-3538
ufc-3476,UFC,2024-11-17,https://www.bestfightodds.com/events/ufc-3476
ufc-3549,UFC,2024-11-23,https://www.bestfightodds.com/events/ufc-3549
ufc-3522,UFC,2024-12-08,https://www.bestfightodds.com/events/ufc-3522
ufc-fight-night-3544,UFC Fight Night,2024-12-15,https://www.bestfightodds.com/events/ufc-fight-night-3544
ufc-fight-night-3593,UFC Fight Night,2025-01-11,https://www.bestfightodds.com/events/ufc-fight-night-3593
ufc-fight-night-3586,UFC Fight Night,2025-01-12,https://www.bestfightodds.com/events/ufc-fight-night-3586
ufc-311-3596,UFC 311,2025-01-18,https://www.bestfightodds.com/events/ufc-311-3596
ufc-3570,UFC,2025-01-19,https://www.bestfightodds.com/events/ufc-3570
ufc-3592,UFC,2025-02-01,https://www.bestfightodds.com/events/ufc-3592
ufc-3617,UFC,2025-02-08,https://www.bestfightodds.com/events/ufc-3617
ufc-3626,UFC,2025-02-09,https://www.bestfightodds.com/events/ufc-3626
ufc-3630,UFC,2025-02-15,https://www.bestfightodds.com/events/ufc-3630
ufc-3638,UFC,2025-02-16,https://www.bestfightodds.com/events/ufc-3638
ufc-3604,UFC,2025-02-22,https://www.bestfightodds.com/events/ufc-3604
ufc-3601,UFC,2025-02-23,https://www.bestfightodds.com/events/ufc-3601
ufc-3642,UFC,2025-03-01,https://www.bestfightodds.com/events/ufc-3642
ufc-3600,UFC,2025-03-02,https://www.bestfightodds.com/events/ufc-3600
ufc-313-3650,UFC 313,2025-03-08,https://www.bestfightodds.com/events/ufc-313-3650
ufc-3612,UFC,2025-03-09,https://www.bestfightodds.com/events/ufc-3612
ufc-3655,UFC,2025-03-15,https://www.bestfightodds.com/events/ufc-3655
ufc-fight-night-3651,UFC Fight Night,2025-03-16,https://www.bestfightodds.com/events/ufc-fight-night-3651
ufc-3578,UFC,2025-03-22,https://www.bestfightodds.com/events/ufc-3578
ufc-fight-night-3668,UFC Fight Night,2025-03-29,https://www.bestfightodds.com/events/ufc-fight-night-3668
ufc-fight-night-3667,UFC Fight Night,2025-03-30,https://www.bestfightodds.com/events/ufc-fight-night-3667
ufc-3671,UFC,2025-04-05,https://www.bestfightodds.com/events/ufc-3671
ufc-fight-night-3676,UFC Fight Night,2025-04-06,https://www.bestfightodds.com/events/ufc-fight-night-3676
ufc-3654,UFC,2025-04-12,https://www.bestfightodds.com/events/ufc-3654
ufc-3611,UFC,2025-04-13,https://www.bestfightodds.com/events/ufc-3611
ufc-fight-night-3688,UFC Fight Night,2025-04-26,https://www.bestfightodds.com/events/ufc-fight-night-3688
ufc-3656,UFC,2025-04-27,https://www.bestfightodds.com/events/ufc-3656
ufc-fight-night-3694,UFC Fight Night,2025-05-03,https://www.bestfightodds.com/events/ufc-fight-night-3694
ufc-3665,UFC,2025-05-04,https://www.bestfightodds.com/events/ufc-3665
ufc-315-3708,UFC 315,2025-05-10,https://www.bestfightodds.com/events/ufc-315-3708
ufc-3644,UFC,2025-05-11,https://www.bestfightodds.com/events/ufc-3644
ufc-3719,UFC,2025-05-17,https://www.bestfightodds.com/events/ufc-3719
ufc-3722,UFC,2025-05-18,https://www.bestfightodds.com/events/ufc-3722
road-to-ufc-3734,Road to UFC,2025-05-22,https://www.bestfightodds.com/events/road-to-ufc-3734
road-to-ufc-3735,Road to UFC,2025-05-23,https://www.bestfightodds.com/events/road-to-ufc-3735
ufc-3727,UFC,2025-05-31,https://www.bestfightodds.com/events/ufc-3727
ufc-3741,UFC,2025-06-01,https://www.bestfightodds.com/events/ufc-3741
ufc-316-3702,UFC 316,2025-06-07,https://www.bestfightodds.com/events/ufc-316-3702
ufc-3684,UFC,2025-06-08,https://www.bestfightodds.com/events/ufc-3684
ufc-fight-night-3715,UFC Fight Night,2025-06-14,https://www.bestfightodds.com/events/ufc-fight-night-3715
ufc-fight-night-3716,UFC Fight Night,2025-06-15,https://www.bestfightodds.com/events/ufc-fight-night-3716
ufc-fight-night-3701,UFC Fight Night,2025-06-21,https://www.bestfightodds.com/events/ufc-fight-night-3701
ufc-3726,UFC,2025-06-28,https://www.bestfightodds.com/events/ufc-3726
ufc-3725,UFC,2025-06-29,https://www.bestfightodds.com/events/ufc-3725
ufc-fight-night-3748,UFC Fight Night,2025-07-12,https://www.bestfightodds.com/events/ufc-fight-night-3748
ufc-fight-night-3749,UFC Fight Night,2025-07-13,https://www.bestfightodds.com/events/ufc-fight-night-3749
ufc-3706,UFC,2025-07-20,https://www.bestfightodds.com/events/ufc-3706
ufc-3724,UFC,2025-07-26,https://www.bestfightodds.com/events/ufc-3724
ufc-fight-night-albazi-vs-taira-odds-3777,UFC Fight Night: Albazi vs Taira Odds,2025-08-02,https://www.bestfightodds.com/events/ufc-fight-night-albazi-vs-taira-odds-3777
ufc-3791,UFC,2025-08-03,https://www.bestfightodds.com/events/ufc-3791
ufc-fight-night-dolidze-vs-hernandez-odds-3789,UFC Fight Night: Dolidze vs. Hernandez Odds,2025-08-09,https://www.bestfightodds.com/events/ufc-fight-night-dolidze-vs-hernandez-odds-3789
ufc-319-odds-3767,UFC 319 Odds,2025-08-16,https://www.bestfightodds.com/events/ufc-319-odds-3767
ufc-319-3800,UFC 319,2025-08-17,https://www.bestfightodds.com/events/ufc-319-3800
road-to-ufc-3819,Road to UFC,2025-08-22,https://www.bestfightodds.com/events/road-to-ufc-3819
ufc-3818,UFC,2025-08-22,https://www.bestfightodds.com/events/ufc-3818
ufc-3812,UFC,2025-08-23,https://www.bestfightodds.com/events/ufc-3812
ufc-fight-night-3775,UFC Fight Night,2025-09-06,https://www.bestfightodds.com/events/ufc-fight-night-3775
ufc-fight-night-3794,UFC Fight Night,2025-09-13,https://www.bestfightodds.com/events/ufc-fight-night-3794
ufc-fight-night-3776,UFC Fight Night,2025-09-14,https://www.bestfightodds.com/events/ufc-fight-night-3776
ufc-fight-night-3840,UFC Fight Night,2025-09-27,https://www.bestfightodds.com/events/ufc-fight-night-3840
ufc-fight-night-3846,UFC Fight Night,2025-09-28,https://www.bestfightodds.com/events/ufc-fight-night-3846
ufc-bjj-3-3874,UFC BJJ 3,2025-10-03,https://www.bestfightodds.com/events/ufc-bjj-3-3874
ufc-320-3853,UFC 320,2025-10-04,https://www.bestfightodds.com/events/ufc-320-3853
ufc-320-odds-3779,UFC 320 Odds,2025-10-05,https://www.bestfightodds.com/events/ufc-320-odds-3779
ufc-rio-3872,UFC Rio,2025-10-11,https://www.bestfightodds.com/events/ufc-rio-3872
ufc-3869,UFC,2025-10-12,https://www.bestfightodds.com/events/ufc-3869
ufc-fight-night-3822,UFC Fight Night,2025-10-18,https://www.bestfightodds.com/events/ufc-fight-night-3822
ufc-321-odds-3780,UFC 321 Odds,2025-10-25,https://www.bestfightodds.com/events/ufc-321-odds-3780
ufc-vegas-110-3913,UFC Vegas 110,2025-11-01,https://www.bestfightodds.com/events/ufc-vegas-110-3913
ufc-vegas-111-3918,UFC Vegas 111,2025-11-08,https://www.bestfightodds.com/events/ufc-vegas-111-3918
ufc-vegas-111-3917,UFC Vegas 111,2025-11-09,https://www.bestfightodds.com/events/ufc-vegas-111-3917
ufc-322-3924,UFC 322,2025-11-15,https://www.bestfightodds.com/events/ufc-322-3924
ufc-322-3830,UFC 322,2025-11-16,https://www.bestfightodds.com/events/ufc-322-3830
ufc-qatar-3941,UFC Qatar,2025-11-22,https://www.bestfightodds.com/events/ufc-qatar-3941
ufc-323-3951,UFC 323,2025-12-06,https://www.bestfightodds.com/events/ufc-323-3951
ufc-3895,UFC,2025-12-07,https://www.bestfightodds.com/events/ufc-3895
ufc-bjj-4-3989,UFC BJJ 4,2025-12-12,https://www.bestfightodds.com/events/ufc-bjj-4-3989
ufc-vegas-112-3987,UFC Vegas 112,2025-12-14,https://www.bestfightodds.com/events/ufc-vegas-112-3987
ufc-3525,UFC,2026-01-01,https://www.bestfightodds.com/events/ufc-3525
ufc-324-3973,UFC 324,2026-01-24,https://www.bestfightodds.com/events/ufc-324-3973
ufc-3970,UFC,2026-01-25,https://www.bestfightodds.com/events/ufc-3970
ufc-3971,UFC,2026-02-01,https://www.bestfightodds.com/events/ufc-3971
ufc-fight-night-4026,UFC Fight Night,2026-02-07,https://www.bestfightodds.com/events/ufc-fight-night-4026
ufc-vegas-113-4033,UFC Vegas 113,2026-02-08,https://www.bestfightodds.com/events/ufc-vegas-113-4033
ufc-bjj5-4050,UFC BJJ5,2026-02-13,https://www.bestfightodds.com/events/ufc-bjj5-4050
ufc-houston-4044,UFC Houston,2026-02-21,https://www.bestfightodds.com/events/ufc-houston-4044
ufc-3996,UFC,2026-02-22,https://www.bestfightodds.com/events/ufc-3996
ufc-mexico-4053,UFC Mexico,2026-02-28,https://www.bestfightodds.com/events/ufc-mexico-4053
ufc-mexico-4052,UFC Mexico,2026-03-01,https://www.bestfightodds.com/events/ufc-mexico-4052
ufc-326-4065,UFC 326,2026-03-07,https://www.bestfightodds.com/events/ufc-326-4065
ufc-4025,UFC,2026-03-08,https://www.bestfightodds.com/events/ufc-4025
ufc-bjj-6-4088,UFC BJJ 6,2026-03-13,https://www.bestfightodds.com/events/ufc-bjj-6-4088
ufc-vegas-114-4080,UFC Vegas 114,2026-03-14,https://www.bestfightodds.com/events/ufc-vegas-114-4080
ufc-london-4081,UFC London,2026-03-21,https://www.bestfightodds.com/events/ufc-london-4081
ufc-seattle-4095,UFC Seattle,2026-03-28,https://www.bestfightodds.com/events/ufc-seattle-4095
ufc-seattle-4018,UFC Seattle,2026-03-29,https://www.bestfightodds.com/events/ufc-seattle-4018
ufc-bjj-7-4123,UFC BJJ 7,2026-04-03,https://www.bestfightodds.com/events/ufc-bjj-7-4123
ufc-winnipeg-4130,UFC Winnipeg,2026-04-18,https://www.bestfightodds.com/events/ufc-winnipeg-4130
ufc-winnipeg-4145,UFC Winnipeg,2026-04-19,https://www.bestfightodds.com/events/ufc-winnipeg-4145
ufc-vegas-116-4147,UFC Vegas 116,2026-04-25,https://www.bestfightodds.com/events/ufc-vegas-116-4147
ufc-perth-4079,UFC Perth,2026-05-02,https://www.bestfightodds.com/events/ufc-perth-4079
ufc-vegas-117-4186,UFC Vegas 117,2026-05-16,https://www.bestfightodds.com/events/ufc-vegas-117-4186
ufc-vegas-117-4178,UFC Vegas 117,2026-05-17,https://www.bestfightodds.com/events/ufc-vegas-117-4178
ufc-bjj-8-4197,UFC BJJ 8,2026-05-22,https://www.bestfightodds.com/events/ufc-bjj-8-4197
road-to-ufc-4206,Road to UFC,2026-05-28,https://www.bestfightodds.com/events/road-to-ufc-4206
road-to-ufc-4207,Road to UFC,2026-05-29,https://www.bestfightodds.com/events/road-to-ufc-4207
ufc-macau-4188,UFC Macau,2026-05-30,https://www.bestfightodds.com/events/ufc-macau-4188
ufc-bjj-9-4220,UFC BJJ 9,2026-06-05,https://www.bestfightodds.com/events/ufc-bjj-9-4220
ufc-vegas-118-4200,UFC Vegas 118,2026-06-06,https://www.bestfightodds.com/events/ufc-vegas-118-4200
ufc-vegas-119-4225,UFC Vegas 119,2026-06-20,https://www.bestfightodds.com/events/ufc-vegas-119-4225
ufc-vegas-119-4226,UFC Vegas 119,2026-06-21,https://www.bestfightodds.com/events/ufc-vegas-119-4226
ufc-fight-night-4230,UFC Fight Night,2026-06-27,https://www.bestfightodds.com/events/ufc-fight-night-4230
ufc-oklahoma-4195,UFC Oklahoma,2026-07-18,https://www.bestfightodds.com/events/ufc-oklahoma-4195
ufc-abu-dhabi-4216,UFC Abu Dhabi,2026-07-25,https://www.bestfightodds.com/events/ufc-abu-dhabi-4216
ufc-belgrade-4285,UFC Belgrade,2026-08-01,https://www.bestfightodds.com/events/ufc-belgrade-4285
ufc-vegas-120-4301,UFC Vegas 120,2026-08-08,https://www.bestfightodds.com/events/ufc-vegas-120-4301
noche-ufc-4299,Noche UFC,2026-08-13,https://www.bestfightodds.com/events/noche-ufc-4299
ufc-330-4237,UFC 330,2026-08-15,https://www.bestfightodds.com/events/ufc-330-4237
ufc-330-4297,UFC 330,2026-08-15,https://www.bestfightodds.com/events/ufc-330-4297
ufc-bjj-10-4322,UFC BJJ 10,2026-08-21,https://www.bestfightodds.com/events/ufc-bjj-10-4322
ufc-sacramento-4320,UFC Sacramento,2026-08-22,https://www.bestfightodds.com/events/ufc-sacramento-4320
ufc-sacramento-4311,UFC Sacramento,2026-08-23,https://www.bestfightodds.com/events/ufc-sacramento-4311
road-to-ufc-4332,Road to UFC,2026-08-28,https://www.bestfightodds.com/events/road-to-ufc-4332
ufc-shanghai-4257,UFC Shanghai,2026-08-29,https://www.bestfightodds.com/events/ufc-shanghai-4257
