source_event_id,source_matchup_id,bookmaker_id,bookmaker_name,fighter_name,fighter_url,american_odds,event_name,event_date_iso,event_url
ufc-3123,33725,21,FanDuel,Matthew Semelsberger,/fighters/matthew-semelsberger-10268,-102,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33725,24,Caesars,Matthew Semelsberger,/fighters/matthew-semelsberger-10268,-105,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33725,25,BetRivers,Matthew Semelsberger,/fighters/matthew-semelsberger-10268,-114,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33725,20,BetWay,Matthew Semelsberger,/fighters/matthew-semelsberger-10268,-110,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33725,26,Unibet,Matthew Semelsberger,/fighters/matthew-semelsberger-10268,-114,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33725,23,BetMGM,Matthew Semelsberger,/fighters/matthew-semelsberger-10268,+100,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33725,22,DraftKings,Matthew Semelsberger,/fighters/matthew-semelsberger-10268,-130,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33725,21,FanDuel,Preston Parsons,/fighters/preston-parsons-6472,-116,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33725,24,Caesars,Preston Parsons,/fighters/preston-parsons-6472,-115,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33725,25,BetRivers,Preston Parsons,/fighters/preston-parsons-6472,-109,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33725,20,BetWay,Preston Parsons,/fighters/preston-parsons-6472,-110,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33725,26,Unibet,Preston Parsons,/fighters/preston-parsons-6472,-109,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33725,23,BetMGM,Preston Parsons,/fighters/preston-parsons-6472,-120,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33725,22,DraftKings,Preston Parsons,/fighters/preston-parsons-6472,+100,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33485,21,FanDuel,Gaston Bolanos,/fighters/gaston-bolanos-6991,+215,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33485,24,Caesars,Gaston Bolanos,/fighters/gaston-bolanos-6991,+220,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33485,25,BetRivers,Gaston Bolanos,/fighters/gaston-bolanos-6991,+188,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33485,20,BetWay,Gaston Bolanos,/fighters/gaston-bolanos-6991,+200,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33485,26,Unibet,Gaston Bolanos,/fighters/gaston-bolanos-6991,+188,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33485,23,BetMGM,Gaston Bolanos,/fighters/gaston-bolanos-6991,+185,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33485,22,DraftKings,Gaston Bolanos,/fighters/gaston-bolanos-6991,+205,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
