Year,Period,Weighting,Book,N,AvailableFights,CoverageRate,N_d5,N_d10,Accuracy_d5,Accuracy_d10,LogLoss,AverageLogLikelihood,ECE_fixed20,ECE_percentile20,MeanConfidence,ObservedAccuracy,Eligible,Rank_Accuracy_d5,Rank_Accuracy_d10,Rank_LogLoss,Rank_ECE_fixed20,Rank_ECE_percentile20,MeanMetricRank,EligibleLogLossRank,EligibleCompositeRank
2025,2025,Liquidity proxy,Caesars,465,470,0.9893617021276596,413,348,0.6972585747812193,0.7179577153317273,0.595288128217277,-0.595288128217277,0.05077676780793875,0.04048562509483014,0.6796279226297489,0.6747517314847732,True,6.0,2.0,2.0,3.0,1.0,2.8,2.0,1.0
2025,2025,Liquidity proxy,FanDuel,468,470,0.9957446808510638,417,347,0.6995205786777399,0.7142821446063263,0.5961863747463416,-0.5961863747463416,0.05829253644256784,0.07304031239853251,0.6762998832151984,0.672242244408419,True,4.0,6.0,3.0,4.0,3.0,4.0,3.0,4.0
2025,2025,Liquidity proxy,BetRivers,467,470,0.9936170212765958,408,341,0.6982738311633514,0.7222895383915967,0.5964378417037558,-0.5964378417037558,0.04931718211155861,0.07429927481639893,0.6738333033313585,0.673973774923791,True,5.0,1.0,4.0,1.0,5.0,3.2,4.0,2.0
2025,2025,Liquidity proxy,BetWay,468,470,0.9957446808510638,393,341,0.7021927562564356,0.7168948905785457,0.5966850617846441,-0.5966850617846441,0.0493331980325015,0.07027024297583592,0.6684355877213982,0.6764368685770858,True,3.0,4.0,5.0,2.0,2.0,3.2,5.0,2.0
2025,2025,Liquidity proxy,BetMGM,244,470,0.5191489361702127,215,180,0.7023401555657757,0.7163753320475664,0.6061571276621038,-0.6061571276621038,0.07001298708142902,0.07325144564764238,0.6757969496477202,0.6725157933956389,True,2.0,5.0,6.0,6.0,4.0,4.6,6.0,5.0
2025,2025,Liquidity proxy,Unibet,207,470,0.44042553191489364,176,153,0.7047739986284364,0.712168351892244,0.6075878623196496,-0.6075878623196496,0.06433691800922173,0.1371916921141318,0.670343787886973,0.6780110235540486,False,1.0,7.0,7.0,5.0,7.0,5.4,,
2026,2026 YTD through 2026-08-30,Equal,Caesars,252,254,0.9921259842519685,228,193,0.7631578947368421,0.7927461139896373,0.5375016019343009,-0.5375016019343009,0.11132129064223209,0.12111843720296148,0.6889290577167437,0.7420634920634921,True,6.0,2.0,2.0,5.0,5.0,4.0,1.0,4.0
2026,2026 YTD through 2026-08-30,Equal,BetRivers,253,254,0.9960629921259843,223,191,0.7668161434977578,0.7905759162303665,0.5400430561094983,-0.5400430561094983,0.08848916169340222,0.10629287505677681,0.6825559393698134,0.7351778656126482,True,4.0,4.0,3.0,2.0,3.0,3.2,2.0,2.0
2026,2026 YTD through 2026-08-30,Equal,Unibet,253,254,0.9960629921259843,223,191,0.7668161434977578,0.7905759162303665,0.542223250159381,-0.542223250159381,0.08720685882076769,0.09978094517461669,0.6811486711294298,0.7351778656126482,True,4.0,4.0,4.0,1.0,2.0,3.0,3.0,1.0
2026,2026 YTD through 2026-08-30,Equal,FanDuel,251,254,0.9881889763779528,221,187,0.7692307692307693,0.7914438502673797,0.5425329452644475,-0.5425329452644475,0.09693007415032126,0.09000634755731272,0.6801110488385695,0.7250996015936255,True,3.0,3.0,5.0,4.0,1.0,3.2,4.0,2.0
2026,2026 YTD through 2026-08-30,Equal,BetWay,254,254,1.0,212,190,0.7735849056603774,0.7894736842105263,0.5446093332647471,-0.5446093332647471,0.0950097998474988,0.11593707468576693,0.6726286504165191,0.7440944881889764,True,2.0,6.0,6.0,3.0,4.0,4.2,5.0,5.0
2026,2026 YTD through 2026-08-30,Equal,Kalshi Up to $500 i,110,254,0.4330708661417323,102,98,0.9411764705882353,0.9489795918367347,0.28574184126867036,-0.28574184126867036,0.14194539382222224,0.1360073002322035,0.7912654270405238,0.9272727272727272,False,1.0,1.0,1.0,6.0,6.0,3.0,,
2026,2026 YTD through 2026-08-30,Equal,Polymarket $20 Bonus i,100,254,0.3937007874015748,83,66,0.7469879518072289,0.7878787878787878,0.5632146798945705,-0.5632146798945705,0.1773852816600742,0.2096526883388079,0.6542081799727724,0.71,False,7.0,7.0,7.0,8.0,7.0,7.2,,
2026,2026 YTD through 2026-08-30,Equal,BetMGM,25,254,0.0984251968503937,22,19,0.6818181818181818,0.6842105263157895,0.5782398520540231,-0.5782398520540231,0.17550813197338494,0.3152221060824956,0.6904639692684879,0.64,False,8.0,8.0,8.0,7.0,8.0,7.8,,
2026,2026 YTD through 2026-08-30,Liquidity proxy,Caesars,252,254,0.9921259842519685,228,193,0.7619562721898878,0.7922252446878506,0.5378784797298872,-0.5378784797298872,0.11248168919265449,0.10211858755045387,0.6878259559664021,0.7417270100329449,True,6.0,2.0,2.0,5.0,1.0,3.2,1.0,1.0
2026,2026 YTD through 2026-08-30,Liquidity proxy,BetRivers,253,254,0.9960629921259843,223,191,0.7669570037567707,0.7910455826111424,0.5398053409602734,-0.5398053409602734,0.09140659368871171,0.10699469452380712,0.6814996828962104,0.73450637484645,True,4.0,5.0,3.0,2.0,4.0,3.6,2.0,3.0
2026,2026 YTD through 2026-08-30,Liquidity proxy,Unibet,253,254,0.9960629921259843,223,191,0.7663782560291941,0.7910455826111424,0.5421209119424442,-0.5421209119424442,0.08976207498217977,0.10381465795004269,0.6800686343765109,0.73450637484645,True,5.0,5.0,4.0,1.0,3.0,3.6,3.0,3.0
2026,2026 YTD through 2026-08-30,Liquidity proxy,FanDuel,251,254,0.9881889763779528,221,187,0.7690883273741717,0.7911505287335898,0.5421854487522052,-0.5421854487522052,0.096510154106186,0.10268211637963756,0.679414673080178,0.7237032981727939,True,3.0,3.0,5.0,4.0,2.0,3.4,4.0,2.0
2026,2026 YTD through 2026-08-30,Liquidity proxy,BetWay,254,254,1.0,212,190,0.7733726097368071,0.7898466617224541,0.5446470397131581,-0.5446470397131581,0.09614461970962451,0.12054941908975927,0.6715313787324468,0.7429403433736682,True,2.0,7.0,6.0,3.0,5.0,4.6,5.0,5.0
2026,2026 YTD through 2026-08-30,Liquidity proxy,Kalshi Up to $500 i,110,254,0.4330708661417323,102,98,0.9405194865341917,0.9477940931756592,0.28623816135414565,-0.28623816135414565,0.1412537369058753,0.1355478014423113,0.7913986553381164,0.9269464567804279,False,1.0,1.0,1.0,6.0,6.0,3.0,,
2026,2026 YTD through 2026-08-30,Liquidity proxy,Polymarket $20 Bonus i,100,254,0.3937007874015748,83,66,0.751026263337827,0.791100565349477,0.5607620281778632,-0.5607620281778632,0.1747941432195462,0.20722372702624095,0.654789627260281,0.715799801400318,False,7.0,4.0,7.0,7.0,7.0,6.4,,
2026,2026 YTD through 2026-08-30,Liquidity proxy,BetMGM,25,254,0.0984251968503937,22,19,0.6805251641137856,0.6802030456852792,0.5813028942527686,-0.5813028942527686,0.18130187101782597,0.3156422307381248,0.6898983742940649,0.6365384615384615,False,8.0,8.0,8.0,8.0,8.0,8.0,,
