source_event_id,event_name,event_date_iso,event_url,source_matchup_id,fighter_1_name,fighter_2_name,fighter_1_url,fighter_2_url,pair_key,reason,candidate_count
road-to-ufc-3442,Road to UFC,2024-08-24,https://www.bestfightodds.com/events/road-to-ufc-3442,36135,Kangjie Zhu,Shin Haraguchi,/fighters/kangjie-zhu-17657,/fighters/shin-haraguchi-15881,"('kangjie zhu', 'shin haraguchi')",unmatched,0
road-to-ufc-3442,Road to UFC,2024-08-24,https://www.bestfightodds.com/events/road-to-ufc-3442,36136,Bin Xie,Masuto Kawana,/fighters/bin-xie-12716,/fighters/masuto-kawana-14204,"('bin xie', 'masuto kawana')",unmatched,0
road-to-ufc-3442,Road to UFC,2024-08-24,https://www.bestfightodds.com/events/road-to-ufc-3442,36133,Angad Bisht,Dong Hoon Choi,/fighters/angad-bisht-17651,/fighters/dong-hoon-choi-17653,"('angad bisht', 'dong hoon choi')",unmatched,0
road-to-ufc-3442,Road to UFC,2024-08-24,https://www.bestfightodds.com/events/road-to-ufc-3442,36134,Huaxiang Dong,Ming Shi,/fighters/huaxiang-dong-17662,/fighters/ming-shi-17668,"('huaxiang dong', 'ming shi')",unmatched,0
road-to-ufc-3442,Road to UFC,2024-08-24,https://www.bestfightodds.com/events/road-to-ufc-3442,36139,Daermisi Zhawupasi,Su Young You,/fighters/daermisi-zhawupasi-15877,/fighters/su-young-you-17656,"('daermisi zhawupasi', 'su young you')",unmatched,0
road-to-ufc-3442,Road to UFC,2024-08-24,https://www.bestfightodds.com/events/road-to-ufc-3442,36140,Miki Motono,Xiaocan Feng,/fighters/miki-motono-17667,/fighters/xiaocan-feng-17665,"('miki motono', 'xiaocan feng')",unmatched,0
road-to-ufc-3442,Road to UFC,2024-08-24,https://www.bestfightodds.com/events/road-to-ufc-3442,36146,Kiru Singh Sahota,Ruel Panales,/fighters/kiru-singh-sahota-15472,/fighters/ruel-panales-14012,"('kiru singh sahota', 'ruel panales')",unmatched,0
road-to-ufc-3442,Road to UFC,2024-08-24,https://www.bestfightodds.com/events/road-to-ufc-3442,36137,Danni McCormack,Qihui Yan,/fighters/danni-mccormack-13352,/fighters/qihui-yan-12715,"('danni mccormack', 'qihui yan')",unmatched,0
road-to-ufc-3442,Road to UFC,2024-08-24,https://www.bestfightodds.com/events/road-to-ufc-3442,36138,Jonathan Piersma,Samandar Murodov,/fighters/jonathan-piersma-10542,/fighters/samandar-murodov-10948,"('jonathan piersma', 'samandar murodov')",unmatched,0
ufc-3414,UFC,2024-08-24,https://www.bestfightodds.com/events/ufc-3414,36142,Nathan Fletcher,Zygimantas Ramaska,/fighters/nathan-fletcher-9198,/fighters/zygimantas-ramaska-18251,"('nathan fletcher', 'zygimantas ramaska')",unmatched,0
ufc-3414,UFC,2024-08-24,https://www.bestfightodds.com/events/ufc-3414,35958,Cong Wang,Victoria Leonardo,/fighters/cong-wang-16644,/fighters/victoria-leonardo-8900,"('cong wang', 'victoria leonardo')",unmatched,0
ufc-3414,UFC,2024-08-24,https://www.bestfightodds.com/events/ufc-3414,35953,Danny Silva,Dennis Buzukja,/fighters/danny-silva-9217,/fighters/dennis-buzukja-8602,"('danny silva', 'dennis buzukja')",unmatched,0
